scenario,day,hour,arr,pop_share,arr_pop
declared,Tue,12,75117,0.8523694760048995,155700.4569304713
declared,Tue,12,75118,0.8415644250341617,158588.97282913688
declared,Tue,12,75119,0.7975284897920947,175756.86880710768
declared,Tue,12,75120,0.76622275399797,181633.45733693315
declared,Sun,3,75101,0.5715924713121824,15617.5
declared,Sun,3,75102,0.23184943521147522,19284.5
declared,Sun,3,75103,0.08712492796801294,32386.0
declared,Sun,3,75104,0.20905269220195802,22799.5
declared,Sun,3,75105,0.14875751343535132,41124.5
declared,Sun,3,75106,0.21699422573699648,32264.999999999996
declared,Sun,3,75107,0.21270965566595687,45873.0
declared,Sun,3,75108,0.28223042194908776,37661.0
declared,Sun,3,75109,0.38586984726856505,52491.0
declared,Sun,3,75110,0.2706555293555984,81849.5
declared,Sun,3,75111,0.1259238314191606,130565.99999999999
declared,Sun,3,75112,0.11997320717948305,138440.44177335376
declared,Sun,3,75113,0.15177338354596626,167939.9038655723
declared,Sun,3,75114,0.09866705576225483,118918.16005921719
declared,Sun,3,75115,0.11350212615832629,213509.978186194
declared,Sun,3,75116,0.14747134834274128,158721.9553879362
declared,Sun,3,75117,0.13543698045231,155700.4569304713
declared,Sun,3,75118,0.1513446013873597,158588.97282913688
declared,Sun,3,75119,0.10224130865381655,175756.86880710768
declared,Sun,3,75120,0.07783125756987598,181633.45733693315
declared,Sun,12,75101,0.8035091945756782,15617.5
declared,Sun,12,75102,0.7018110626321385,19284.5
declared,Sun,12,75103,0.4473642001835582,32386.0
declared,Sun,12,75104,0.5604171661813928,22799.5
declared,Sun,12,75105,0.3471683687924074,41124.5
declared,Sun,12,75106,0.572139540629663,32264.999999999996
declared,Sun,12,75107,0.25360785336857095,45873.0
declared,Sun,12,75108,0.4943932449032385,37661.0
declared,Sun,12,75109,0.5892664177607944,52491.0
declared,Sun,12,75110,0.3869009902367028,81849.5
declared,Sun,12,75111,0.337194672825953,130565.99999999999
declared,Sun,12,75112,0.2588734819023999,138440.44177335376
declared,Sun,12,75113,0.2881928756283304,167939.9038655723
declared,Sun,12,75114,0.34970718639610743,118918.16005921719
declared,Sun,12,75115,0.29000580934991965,213509.978186194
declared,Sun,12,75116,0.3111433319068334,158721.9553879362
declared,Sun,12,75117,0.3208111231309712,155700.4569304713
declared,Sun,12,75118,0.3923767464227124,158588.97282913688
declared,Sun,12,75119,0.3512851969615402,175756.86880710768
declared,Sun,12,75120,0.26893953592708264,181633.45733693315
strict,Tue,3,75101,0.3502009082052211,15617.5
strict,Tue,3,75102,0.17192033437384963,19284.5
strict,Tue,3,75103,0.08712492796801294,32386.0
strict,Tue,3,75104,0.20616580214319835,22799.5
strict,Tue,3,75105,0.10565428353949073,41124.5
strict,Tue,3,75106,0.1863427086578144,32264.999999999996
strict,Tue,3,75107,0.1362601125007105,45873.0
strict,Tue,3,75108,0.24408430270002177,37661.0
strict,Tue,3,75109,0.29790911092978056,52491.0
strict,Tue,3,75110,0.19726254719188302,81849.5
strict,Tue,3,75111,0.06806638102162753,130565.99999999999
strict,Tue,3,75112,0.0972585851768793,138440.44177335376
strict,Tue,3,75113,0.1368792566797079,167939.9038655723
strict,Tue,3,75114,0.08833008511625896,118918.16005921719
strict,Tue,3,75115,0.09076731828675606,213509.978186194
strict,Tue,3,75116,0.10097836485881855,158721.9553879362
strict,Tue,3,75117,0.08785253440659516,155700.4569304713
strict,Tue,3,75118,0.10542840001464218,158588.97282913688
strict,Tue,3,75119,0.06393941417679574,175756.86880710768
strict,Tue,3,75120,0.07298002869182538,181633.45733693315
strict,Tue,12,75101,0.9221639809951844,15617.5
strict,Tue,12,75102,0.9502622347676842,19284.5
strict,Tue,12,75103,0.9556411963173378,32386.0
strict,Tue,12,75104,0.8624271096326919,22799.5
strict,Tue,12,75105,0.8297085559249343,41124.5
strict,Tue,12,75106,0.8959306229257846,32264.999999999996
strict,Tue,12,75107,0.7044873639195238,45873.0
strict,Tue,12,75108,0.9113959939183349,37661.0
strict,Tue,12,75109,0.9127042306350046,52491.0
strict,Tue,12,75110,0.852184567467565,81849.5
strict,Tue,12,75111,0.8849185147127697,130565.99999999999
strict,Tue,12,75112,0.7172230016700191,138440.44177335376
strict,Tue,12,75113,0.7447534830011011,167939.9038655723
strict,Tue,12,75114,0.7322876337526486,118918.16005921719
strict,Tue,12,75115,0.758535633316006,213509.978186194
strict,Tue,12,75116,0.5954518060010762,158721.9553879362
strict,Tue,12,75117,0.7189743530669667,155700.4569304713
strict,Tue,12,75118,0.7989027874325806,158588.97282913688
strict,Tue,12,75119,0.7519183954805703,175756.86880710768
strict,Tue,12,75120,0.7197278512865033,181633.45733693315
strict,Sun,3,75101,0.34450623031201666,15617.5
strict,Sun,3,75102,0.17192033437384963,19284.5
strict,Sun,3,75103,0.08712492796801294,32386.0
strict,Sun,3,75104,0.17384333947007277,22799.5
strict,Sun,3,75105,0.10565428353949073,41124.5
strict,Sun,3,75106,0.1863427086578144,32264.999999999996
strict,Sun,3,75107,0.1362601125007105,45873.0
strict,Sun,3,75108,0.23546150430403523,37661.0
strict,Sun,3,75109,0.260347193565659,52491.0
strict,Sun,3,75110,0.19726254719188302,81849.5
strict,Sun,3,75111,0.06806638102162753,130565.99999999999
strict,Sun,3,75112,0.0972585851768793,138440.44177335376
strict,Sun,3,75113,0.1368792566797079,167939.9038655723
strict,Sun,3,75114,0.07146474150697477,118918.16005921719
strict,Sun,3,75115,0.08593190044961983,213509.978186194
strict,Sun,3,75116,0.0988526409898552,158721.9553879362
strict,Sun,3,75117,0.08785253440659516,155700.4569304713
strict,Sun,3,75118,0.09959347096247069,158588.97282913688
strict,Sun,3,75119,0.05661973915892512,175756.86880710768
strict,Sun,3,75120,0.07298002869182538,181633.45733693315
strict,Sun,12,75101,0.6221897785652665,15617.5
strict,Sun,12,75102,0.5824104200330491,19284.5
strict,Sun,12,75103,0.38095690743407945,32386.0
strict,Sun,12,75104,0.4717114723160385,22799.5
strict,Sun,12,75105,0.23488859241809856,41124.5
