scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
strict_unconditional,central,Tue,13,400,0.9884288431169986,0.9886447722670247,1958209
strict_unconditional,central,Tue,14,100,0.3137360945374089,0.3758122810739091,621553
strict_unconditional,central,Tue,14,200,0.7612142644599386,0.789769892639736,1508066
strict_unconditional,central,Tue,14,300,0.9475454172287718,0.9518313933513256,1877213
strict_unconditional,central,Tue,14,400,0.9884493625333648,0.9886595611491941,1958249
strict_unconditional,central,Tue,15,100,0.31363239712108987,0.3757382959375525,621347
strict_unconditional,central,Tue,15,200,0.7608781912654607,0.7895849270731913,1507401
strict_unconditional,central,Tue,15,300,0.9473790879774007,0.9518067316392066,1876884
strict_unconditional,central,Tue,15,400,0.9883626344315145,0.9885362525885998,1958078
strict_unconditional,central,Tue,16,100,0.31287554817529145,0.37483524885682995,619848
strict_unconditional,central,Tue,16,200,0.7598711308433713,0.7885473649776567,1505406
strict_unconditional,central,Tue,16,300,0.9471877265057943,0.9516798375879981,1876505
strict_unconditional,central,Tue,16,400,0.98829190941538,0.9885204720287618,1957937
strict_unconditional,central,Tue,17,100,0.31057187879857306,0.3724286522263827,615284
strict_unconditional,central,Tue,17,200,0.757290065402001,0.7862985520321946,1500292
strict_unconditional,central,Tue,17,300,0.9465805374672038,0.9508400726218695,1875302
strict_unconditional,central,Tue,17,400,0.9882907003264803,0.9885053889807994,1957935
strict_unconditional,central,Tue,18,100,0.034110490820446336,0.04169677953257446,67577
strict_unconditional,central,Tue,18,200,0.1358054197880206,0.1436715244017792,269049
strict_unconditional,central,Tue,18,300,0.2938377159998622,0.3008212611894313,582132
strict_unconditional,central,Tue,18,400,0.4752832862140551,0.4831700512369009,941599
strict_unconditional,central,Tue,19,100,0.029933395404285627,0.035994958346573576,59302
strict_unconditional,central,Tue,19,200,0.11872371625233473,0.12535863844239195,235207
strict_unconditional,central,Tue,19,300,0.26001785918493237,0.2664801688421429,515130
strict_unconditional,central,Tue,19,400,0.42923380091316143,0.4389377457082981,850369
strict_unconditional,central,Tue,20,100,0.028429573021824042,0.034402750064605275,56323
strict_unconditional,central,Tue,20,200,0.11390829256596831,0.12114164148028361,225667
strict_unconditional,central,Tue,20,300,0.2519615109292767,0.2583206483287677,499169
strict_unconditional,central,Tue,20,400,0.4162622530747961,0.42502059565298045,824671
strict_unconditional,central,Tue,21,100,0.02743815061107981,0.03303267619891533,54359
strict_unconditional,central,Tue,21,200,0.11011642356170426,0.11723008769326082,218155
strict_unconditional,central,Tue,21,300,0.2432004813323707,0.25009036557393355,481812
strict_unconditional,central,Tue,21,400,0.40441491585267525,0.41315023050105965,801200
strict_unconditional,central,Tue,22,100,0.026526625181805943,0.032143880474115885,52553
