rank,lat,lon,x_l93,y_l93,osm_node,residents_gained_est,cum_share_strict_uncond_est,also_selected_by_node_allocation_within_100m,nearest_existing_aed_m,nearest_existing_aed_name,nearest_existing_aed_basis,address,address_type,address_distance_m,geocoder,arrondissement
46,48.822902,2.355351,652669.6,6858286.5,9860816202,3715,0.2018,True,112,DAE LES 3 CHARDONS,assumed_business,36 Rue Damesme 75013 Paris,housenumber,3,api-adresse.data.gouv.fr,75013
47,48.819899,2.36509,653382.0,6857946.9,13172120381,3713,0.2037,True,88,"Gymnase Carpentier
BAT football Lachelier - Hall à droite",assumed_business,111 Boulevard Masséna 75013 Paris,housenumber,13,api-adresse.data.gouv.fr,75013
48,48.835948,2.290327,647908.7,6859778.1,10756693783,3712,0.2056,True,64,VICE VERSA ,assumed_business,27 Rue Desnouettes 75015 Paris,housenumber,7,api-adresse.data.gouv.fr,75015
49,48.884867,2.379492,654496.1,6865162.2,11078417805,3663,0.2074,False,55,France Travail - Paris 19ème Laumière,assumed_business,41 Avenue de Laumière 75019 Paris,housenumber,8,api-adresse.data.gouv.fr,75019
50,48.858863,2.385225,654894.1,6862267.5,11056815015,3662,0.2093,True,142,CRECHE MUNICIPALE SERVAN,assumed_business,166B Rue de la Roquette 75011 Paris,housenumber,9,api-adresse.data.gouv.fr,75011
51,48.826316,2.329527,650776.9,6858681.9,10959282387,3636,0.2111,False,87,Fred PA1,assumed_business,27 Rue Sarrette 75014 Paris,housenumber,4,api-adresse.data.gouv.fr,75014
52,48.83896,2.307744,649190.0,6860101.6,10688278895,3627,0.2129,True,56,Résidence services quintinie pocession,assumed_business,17 Rue Plumet 75015 Paris,housenumber,6,api-adresse.data.gouv.fr,75015
53,48.85901,2.40978,656695.8,6862270.1,2879837972,3588,0.2147,True,133,DAE - Théâtre aux Mains Nues,assumed_business,112B Boulevard Davout 75020 Paris,housenumber,13,api-adresse.data.gouv.fr,75020
54,48.896594,2.338569,651506.2,6866490.6,11083300226,3586,0.2165,False,33,75 - SPPE Damrémont ,assumed_business,156 Rue Damrémont 75018 Paris,housenumber,10,api-adresse.data.gouv.fr,75018
55,48.859816,2.278996,647101.2,6862439.4,10997355956,3585,0.2184,True,199,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,34 Rue Nicolo 75116 Paris,housenumber,6,api-adresse.data.gouv.fr,
56,48.872919,2.363649,653323.7,6863843.0,11044408217,3575,0.2202,True,32,COLLEGE LOUISE MICHEL,assumed_business,85 Quai de Valmy 75010 Paris,housenumber,3,api-adresse.data.gouv.fr,75010
57,48.855428,2.389602,655212.2,6861883.1,11065114163,3563,0.222,True,38,DIVISION 11,assumed_business,150 Rue de Charonne 75011 Paris,housenumber,7,api-adresse.data.gouv.fr,75011
58,48.852631,2.385011,654873.0,6861574.7,11044365683,3562,0.2238,False,55,CRECHE MUNICIPALE DE CHANZY,assumed_business,26 Rue Chanzy 75011 Paris,housenumber,3,api-adresse.data.gouv.fr,75011
59,48.890632,2.333408,651122.2,6865830.9,11083298435,3528,0.2255,False,126,PHARMACIE DE LA ROTONDE,assumed_business,103B Rue Lamarck 75018 Paris,housenumber,4,api-adresse.data.gouv.fr,75018
60,48.874723,2.387489,655073.9,6864029.7,11055053066,3512,0.2273,True,74,COLLEGE FRANCOISE DOLTO,assumed_business,2 Rue de la Villette 75019 Paris,housenumber,9,api-adresse.data.gouv.fr,75019
61,48.887173,2.319275,650082.6,6865455.0,10231907381,3490,0.2291,True,91,DAE NOLLET,assumed_business,67 Rue Truffaut 75017 Paris,housenumber,12,api-adresse.data.gouv.fr,75017
62,48.881609,2.300525,648702.2,6864848.4,10787272484,3488,0.2308,False,113,CLA224607080,declared_24_7,103 Rue de Courcelles 75017 Paris,housenumber,4,api-adresse.data.gouv.fr,75017
63,48.899091,2.336517,651358.0,6866769.6,13051137110,3470,0.2326,False,41,Bibliothèque Jacqueline de ROMILLY,assumed_business,37 Rue René Binet 75018 Paris,housenumber,19,api-adresse.data.gouv.fr,75018
64,48.839792,2.400631,656008.3,6860138.3,11102227429,3434,0.2343,True,97,JMS HOLDING,assumed_business,1 Rue Louis Braille 75012 Paris,housenumber,7,api-adresse.data.gouv.fr,75012
65,48.884329,2.314664,649741.7,6865141.8,10212147245,3431,0.2361,True,40,DAE LA FONDATION SAS - HÔTEL,assumed_business,36 Rue Legendre 75017 Paris,housenumber,8,api-adresse.data.gouv.fr,75017
66,48.883548,2.349745,652313.6,6865033.2,11073380983,3429,0.2378,True,22,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,170 Boulevard de Magenta 75010 Paris,housenumber,12,api-adresse.data.gouv.fr,75010
67,48.868597,2.399625,655958.8,6863341.7,11107942316,3427,0.2395,True,105,FRED PA-1 / FRANPRIX,assumed_business,19 Rue Dupont de l'Eure 75020 Paris,housenumber,7,api-adresse.data.gouv.fr,75020
68,48.855366,2.270804,646495.6,6861950.1,10997114895,3414,0.2412,True,107,Gymnase Bauches - Accueil à droite,assumed_business,87 Rue du Ranelagh 75016 Paris,housenumber,5,api-adresse.data.gouv.fr,75016
69,48.878454,2.400003,655994.8,6864437.6,11065114820,3400,0.243,True,127,DAE ASS St-Honoré,assumed_business,36 Rue des Bois 75019 Paris,housenumber,5,api-adresse.data.gouv.fr,75019
70,48.829608,2.317941,649929.4,6859055.2,11042457880,3372,0.2447,True,75,EHPAD FURTADO HEINE - Chariot d'urgence,assumed_business,77 Rue Didot 75014 Paris,housenumber,4,api-adresse.data.gouv.fr,75014
71,48.877834,2.373988,654086.4,6864383.5,11378623437,3364,0.2464,True,81,DAE OTTOBOCK - Réseau Orthopédie et Services,assumed_business,101T Avenue Simon Bolivar 75019 Paris,housenumber,9,api-adresse.data.gouv.fr,75019
72,48.855593,2.374432,654099.3,6861910.1,11053170778,3363,0.2481,False,87,THEATRE DE LA BASTILLE - 76 rue de la Roquette - Theatre de la Bastille,parsed_text,47 Rue de la Roquette 75011 Paris,housenumber,6,api-adresse.data.gouv.fr,75011
73,48.836784,2.403679,656229.5,6859802.1,11056564057,3356,0.2497,True,136,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,255 Avenue Daumesnil 75012 Paris,housenumber,11,api-adresse.data.gouv.fr,75012
74,48.840472,2.299421,648580.6,6860275.1,10717578844,3355,0.2514,True,64,GESTION DU FOYER CARCEL,assumed_business,2 Rue Maublanc 75015 Paris,housenumber,8,api-adresse.data.gouv.fr,75015
75,48.833409,2.315426,649748.5,6859479.4,11042458272,3344,0.2531,True,104,Gymnase Cange,assumed_business,33 Rue de Gergovie 75014 Paris,housenumber,11,api-adresse.data.gouv.fr,75014
76,48.889,2.353683,652607.3,6865637.0,11080946489,3344,0.2548,True,84,Emmaus Solidarite - 33 rue Doudeauville - Dans le hall du Centre d'hébergement,declared_24_7,36 Rue Léon 75018 Paris,housenumber,6,api-adresse.data.gouv.fr,75018
77,48.850742,2.267096,646218.8,6861438.5,10992108344,3331,0.2565,False,183,AED Cardiac Mediana 16,assumed_business,108 Avenue Mozart 75016 Paris,housenumber,10,api-adresse.data.gouv.fr,75016
78,48.872719,2.37894,654445.1,6863811.8,12179173697,3329,0.2582,True,119,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,23 Rue de Belleville 75019 Paris,housenumber,9,api-adresse.data.gouv.fr,75019
79,48.88391,2.289094,647866.2,6865111.7,13066527828,3316,0.2599,True,16,FRED PA-1 / FRANPRIX,assumed_business,21 Boulevard Gouvion-Saint-Cyr 75017 Paris,housenumber,8,api-adresse.data.gouv.fr,75017
80,48.886966,2.347528,652154.1,6865414.6,11066792289,3315,0.2615,True,93,Groupe SOS Solidarites CHU Montmartre - 6 rue du Chevalier de la Barre - Escalier entrée principale,parsed_text,1 Rue Ramey 75018 Paris,housenumber,7,api-adresse.data.gouv.fr,75018
81,48.8506,2.392445,655416.7,6861344.6,11065317275,3305,0.2632,True,28,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,247 Boulevard Voltaire 75011 Paris,housenumber,4,api-adresse.data.gouv.fr,75011
